employee_id,employee_name,department,designation,store_id,warehouse_id,hire_date,salary
1,Jesse Orr,Warehouse,Assistant Manager,45,,2016-07-18,48722
2,Natalie Horton,Operations,Manager,37,,2015-02-10,55785
3,Matthew Waller,HR,Senior Associate,,24,2022-08-15,44639
4,Leslie Burke,Finance,Assistant Manager,16,,2015-10-13,90319
5,Kellie Rivas,Operations,Director,85,,2016-07-20,71515
6,Emily Lambert,Finance,Associate,33,,2021-07-20,116280
7,Jose Hernandez,Marketing,Director,,33,2025-02-20,28764
8,Linda Cortez,Marketing,Assistant Manager,97,,2022-12-20,99542
9,Shane Fisher,HR,Associate,51,,2015-05-11,111695
10,Natalie Rodriguez,Operations,Director,,11,2016-11-05,72726
11,Rachael Lewis,Operations,Associate,25,,2023-02-22,92340
12,Robert Parker,Finance,Assistant Manager,28,,2023-01-22,68545
13,Rebecca Diaz,Warehouse,Associate,73,,2019-04-21,82743
14,John Mckee,Sales,Associate,46,,2025-06-12,111505
15,Michael Hernandez,Finance,Assistant Manager,15,,2024-10-09,76780
16,Richard Potter,Sales,Assistant Manager,,45,2023-03-06,81185
17,Angela Ashley,Marketing,Assistant Manager,,26,2023-03-26,118776
18,Jeffrey Aguilar,Warehouse,Senior Associate,,6,2023-08-19,73690
19,Eric Chandler,Warehouse,Director,,32,2016-08-19,43933
20,Tracey Gross,Sales,Associate,57,,2022-09-16,90820
21,Erin Hill,Operations,Director,78,,2025-05-04,91745
22,Tanya Graham,Marketing,Senior Associate,,43,2017-06-21,49818
23,Matthew Cannon,HR,Assistant Manager,21,,2015-02-28,95042
24,Christopher Fisher,Marketing,Director,,17,2018-12-21,33863
25,Susan Potter,Marketing,Senior Associate,,24,2017-12-19,57440
26,Bridget Chandler,Sales,Manager,65,,2025-06-11,106670
27,John Chambers,Warehouse,Director,15,,2019-11-27,84810
28,Courtney Gray,Marketing,Director,19,,2022-04-10,83868
29,Sherri Mcdonald,Warehouse,Senior Associate,21,,2025-10-20,85127
30,Andrew Elliott,HR,Manager,11,,2023-09-06,43168
31,Jennifer Bell,HR,Senior Associate,76,,2023-03-29,116441
32,Sharon Moore,Finance,Manager,,23,2025-08-28,55420
33,Kellie Adkins,Marketing,Senior Associate,,32,2022-07-30,100352
34,Andrew Atkinson,Marketing,Associate,,17,2017-07-18,119073
35,Jesse Rogers,HR,Director,78,,2022-12-30,50164
36,Helen Clark,HR,Assistant Manager,42,,2018-07-16,86366
37,Jason Fletcher,Warehouse,Manager,48,,2018-08-22,31894
38,Teresa Lawson,Sales,Associate,59,,2022-02-03,86522
39,Mario Williams,Finance,Associate,,49,2018-06-21,68573
40,Tanya Edwards,Sales,Manager,7,,2015-04-08,34639
41,Zachary Ball,Finance,Assistant Manager,57,,2025-12-30,89824
42,Joseph Walker,Warehouse,Senior Associate,,18,2021-04-14,117147
43,Amanda Webb,Finance,Assistant Manager,8,,2022-05-16,35643
44,Rodney Lewis,Marketing,Senior Associate,22,,2023-11-24,110136
45,Jessica Carpenter,HR,Associate,27,,2021-12-24,105605
46,Debra Adkins,HR,Manager,,9,2021-09-18,78395
47,Deborah Russell,Warehouse,Associate,,49,2023-09-17,110926
48,Jason Johnson,Warehouse,Associate,54,,2018-04-01,56463
49,Mitchell Shelton,Sales,Associate,,28,2024-02-11,94246
50,Danielle Nolan,Sales,Senior Associate,,11,2022-12-19,92221
51,Christine Juarez,Finance,Manager,,7,2017-01-01,81404
52,Christine Byrd,Marketing,Director,4,,2016-08-09,104670
53,Shane Gates,Sales,Senior Associate,12,,2024-09-04,108618
54,David Edwards,Operations,Associate,,24,2024-11-04,100323
55,Amy Pearson,HR,Associate,66,,2025-12-06,82131
56,Vincent Lewis,Finance,Senior Associate,,2,2016-02-10,117888
57,Anna Cooke,Finance,Senior Associate,,18,2024-11-07,79111
58,Michelle Payne,Finance,Senior Associate,6,,2024-07-01,86590
59,John Pham,Sales,Director,,29,2023-06-12,45370
60,Leslie Shields,Operations,Senior Associate,,50,2020-06-23,57552
61,Christopher Hernandez,Warehouse,Assistant Manager,,35,2020-08-05,111231
62,Lindsey Cherry,Sales,Assistant Manager,36,,2019-09-19,73809
63,Randy Byrd,Warehouse,Associate,,10,2015-04-28,75033
64,Susan Nolan,Warehouse,Senior Associate,39,,2020-07-04,103101
65,Alec Christian,Marketing,Manager,,38,2017-08-10,57998
66,Kyle Nelson,Operations,Manager,,16,2017-03-15,52411
67,Reginald Herrera,Marketing,Associate,,43,2015-08-13,28816
68,Deborah Kelley,Finance,Assistant Manager,86,,2020-01-13,49289
